user_A;item_1;3.0
user_A;item_2;4.0
user_A;item_3;3.5
user_A;item_4;5.0
user_A;item_5;3.0
user_B;item_1;3.0
user_B;item_2;4.0
user_B;item_6;2.0
user_B;item_4;3.0
user_B;item_3;2.0
user_B;item_5;3.0
user_C;item_2;3.5
user_C;item_6;3.0
user_C;item_3;2.5
user_C;item_4;4.0
user_C;item_5;4.5
user_D;item_1;2.5
user_D;item_2;3.5
user_D;item_6;3.0
user_D;item_4;3.5
user_D;item_5;3.0
user_D;item_3;2.5
user_E;item_2;4.5
user_E;item_4;4.0
user_E;item_3;1.0
user_F;item_1;3.0
user_F;item_2;3.5
user_F;item_6;1.5
user_F;item_4;5.0
user_F;item_3;3.5
user_F;item_5;3.0
user_G;item_1;2.5
user_G;item_2;3.0
user_G;item_4;3.5
user_G;item_5;4.0